angle_deg,epsilon,ridge,budget,static,constructive,best_of_static_constructive,gain,epsilon_threshold
15,1e-06,0.0,14.0,3.1030989568066225e-07,4.7459238057825803e-07,3.1030989568066225e-07,0.6538450855501959,1.1737598275609547e-12
15,1e-06,0.0,14.25,3.076775227962601e-07,4.7459223726543565e-07,3.076775227962601e-07,0.64829868387455,7.180117592532666e-13
15,1e-06,0.0,14.5,3.0506756080359234e-07,4.7459215034181494e-07,3.0506756080359234e-07,0.6427994238502973,4.3922178483244324e-13
15,1e-06,0.0,14.75,3.0247978770878056e-07,4.745920976199739e-07,3.0247978770878056e-07,0.6373468695026376,2.6868052477583867e-13
15,1e-06,0.0,15.0,2.999139957857879e-07,4.7459206564256093e-07,2.999139957857879e-07,0.6319406022511723,1.6435711270869185e-13
15,1e-06,0.0,15.25,2.9736998664661396e-07,4.745920462472795e-07,2.9736998664661396e-07,0.6265802155724993,1.0054044862564695e-13
15,1e-06,0.0,15.5,2.948475682204619e-07,4.745920344834467e-07,2.948475682204619e-07,0.6212653116721155,6.150255162831059e-14
15,1e-06,0.0,15.75,2.923465529007047e-07,4.745920273483214e-07,2.923465529007047e-07,0.615995499406357,3.7622309314304136e-14
15,1e-06,0.0,16.0,2.898667564062603e-07,4.745920230206491e-07,2.898667564062603e-07,0.6107703929816124,2.3014299743128443e-14
15,1e-06,0.05,1.0,0.06335090386025058,0.06450659592454494,0.06335090386025058,0.982084125697065,0.0
15,1e-06,0.05,1.25,0.03779632981967143,0.038159387651390875,0.03779632981967143,0.9904857532034791,0.0
15,1e-06,0.05,1.5,0.022550054721549022,0.02257355119250927,0.022550054721549022,0.9989591149943636,0.0
15,1e-06,0.05,1.75,0.013453876693390465,0.013353662058765607,0.013353662058765607,1.007504655590642,0.020216775062906964
15,1e-06,0.05,2.0,0.008026945633439374,0.007899583312462736,0.007899583312462736,1.01612266317588,0.017346243910452957
15,1e-06,0.05,2.25,0.0047891464763272695,0.004673189997598507,0.004673189997598507,1.0248131316698768,0.011745322384753525
15,1e-06,0.05,2.5,0.0028574187701811827,0.0027645960430239913,0.0027645960430239913,1.0335755118334249,0.007473604674674676
15,1e-06,0.05,2.75,0.0017049144456300152,0.0016355534600872724,0.0016355534600872724,1.0424082656026674,0.004651285416161813
15,1e-06,0.05,3.0,0.0010173074683378427,0.0009676587614973489,0.0009676587614973489,1.0513080734820897,0.0028684512845081806
